Województwo	Użytki rolne	Grunty leśne	Przemysł per capita	Budowa per capita	Handel per capita
Dolnośląskie	123.45	67.89	54321	9876	54321
Kujawsko-pomorskie	98.76	54.32	45678	6543	43210
Lubelskie	12.34	98.76	34567	5432	32109
Lubuskie	87.65	43.21	23456	4321	21098
Łódzkie	56.78	32.10	12345	3210	10987
Małopolskie	90.12	21.43	9876	2109	9876
Mazowieckie	34.56	87.65	76543	1098	8765
Opolskie	78.90	65.43	65432	987	7654
Podkarpackie	21.43	43.21	54321	876	6543
Podlaskie	76.54	90.12	43210	765	5432
Pomorskie	43.21	87.65	32109	654	4321
Śląskie	10.98	76.54	21098	543	3210
Świętokrzyskie	87.65	54.32	10987	432	2109
Warmińsko-mazurskie	32.10	98.76	9876	321	1098
Wielkopolskie	65.43	21.43	8765	6543	987
Zachodniopomorskie	43.21	67.89	5432	3210	876
